"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
22, 8.738499879840000e-01, -1.694956337677533e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
23, 8.631799817090000e-01, -1.826569132102762e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
24, 8.521599769590000e-01, -1.960709133914372e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
25, 8.407700061800000e-01, -2.097463226217677e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
26, 8.290500044819999e-01, -2.236196298315981e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
27, 8.170099854470000e-01, -2.376642068849115e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
28, 8.046399950980000e-01, -2.518763605296113e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
29, 7.919700145720000e-01, -2.662062628442961e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
30, 7.790099978450000e-01, -2.806276676215449e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
31, 7.657799720760000e-01, -2.951033727360171e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
32, 7.522799968720000e-01, -3.096181144522562e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
33, 7.385200262070000e-01, -3.241453277608040e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
34, 7.245299816130000e-01, -3.386376679305321e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
35, 7.103199958800001e-01, -3.530689307158652e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
36, 6.958900094030001e-01, -3.674225211597043e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
37, 6.812700033190000e-01, -3.816515293304169e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
38, 6.664699912070000e-01, -3.957289370556494e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
39, 6.514999866490000e-01, -4.096270419333766e-02, 1.013250000000000e+05, 0.000000000000000e+00, 2.000000000000000e-01
