"PointID"	"x"	"y"	"Density"	"X-Momentum"	"Y-Momentum"	"Energy"	"Pressure"	"Temperature"	"Mach"	"Pressure_Coefficient"
0	0.000000000000000e+00	1.000000000000000e+00	2.634503616206116e+61	-7.449001160472082e+67	7.187788282552966e+66	3.404571980740307e+74	5.854180738557181e+73	1.111059537467563e+10	1.704406050875542e+00	1.170836147711436e+74	
1	2.000000000000000e-02	1.000000000000000e+00	1.361169271507090e+64	-7.896062403516006e+70	2.313499909894013e+70	6.137650616983508e+77	9.127037609211982e+76	3.352646066975382e+10	2.087942848232270e+00	1.825407521842396e+77	
2	1.999999999999999e-02	9.800000000000000e-01	9.462509204113773e+62	-8.683652583997788e+68	8.194516029960002e+69	6.772351323790191e+77	1.603386265376354e+77	8.472310202241550e+11	5.983715257238237e-01	3.206772530752707e+77	
3	0.000000000000000e+00	9.800000000000000e-01	1.304414448929857e+60	-1.653621603866917e+67	-3.461707833834737e+66	1.680655144832078e+74	1.466408059940437e+73	5.620943792609320e+10	3.455090897148279e+00	2.932816119880875e+73	
4	4.000000000000000e-02	1.000000000000000e+00	1.429572865405091e+63	2.540878837893658e+69	8.525915293913697e+68	2.066166935697572e+77	5.102610313464850e+76	1.784662550942777e+11	2.806712311741963e-01	1.020522062692970e+77	
5	3.999999999999999e-02	9.800000000000000e-01	1.399413421340311e+63	8.926092685308282e+69	6.068394543869387e+69	1.840255030175456e+77	3.560018152416409e+76	1.271967989633379e+11	1.367759829720918e+00	7.120036304832818e+76	
6	6.000000000000000e-02	1.000000000000000e+00	3.130237425935523e+63	5.005472537208307e+69	-8.324810497570099e+68	5.055709688035911e+76	1.161108623802098e+76	1.854665422791502e+10	7.528177031100231e-01	2.322217247604195e+76	
7	6.000000000000000e-02	9.800000000000000e-01	5.022863032965916e+63	1.875839670951688e+69	-1.679633431221520e+69	4.343312546282130e+75	9.280510159128773e+74	9.238267197631296e+08	1.043100310870646e+00	1.856102031825755e+75	
8	8.000000000000000e-02	1.000000000000000e+00	3.229692680553433e+63	3.289741081204119e+69	-7.207123301226216e+68	4.572105548975951e+76	1.099129708186705e+76	1.701601076171681e+10	5.055700594363800e-01	2.198259416373409e+76	
9	7.999999999999997e-02	9.800000000000000e-01	3.755784081004949e+64	-1.192820547288092e+71	-6.132587068421469e+70	4.971783972396121e+77	6.442337599303219e+76	8.576554802345586e+09	2.438806327926042e+00	1.288467519860644e+77	
10	1.000000000000000e-01	1.000000000000000e+00	8.547672075581598e+64	3.485507371541127e+69	-5.208169247299443e+69	9.952434311552783e+75	2.430675120862835e+75	1.421834564645163e+08	3.888740902585666e-01	4.861350241725670e+75	
11	1.000000000000000e-01	9.800000000000000e-01	8.271250625619275e+64	5.441109472515349e+70	5.941460754269615e+68	6.846843428095704e+76	1.264239190892590e+76	7.642370229822018e+08	1.505074968672166e+00	2.528478381785180e+76	
12	1.200000000000000e-01	1.000000000000000e+00	3.999054854011333e+64	-9.792311818540135e+68	4.879917016158971e+69	1.548273260976131e+76	3.793250844381135e+75	4.742684187710301e+08	3.614475686637790e-01	7.586501688762270e+75	
13	1.200000000000000e-01	9.800000000000000e-01	5.747122154864008e+64	4.759209409752290e+69	1.748067579058172e+70	2.279959212672304e+76	4.986010081640591e+75	4.337832002944936e+08	9.572567480865609e-01	9.972020163281182e+75	
14	1.400000000000000e-01	1.000000000000000e+00	9.255632885897226e+63	4.007654510599929e+69	3.461505257243163e+69	5.303228660317040e+75	9.470741050609723e+74	5.116203920015160e+08	1.599796028289177e+00	1.894148210121945e+75	
15	1.400000000000000e-01	9.800000000000000e-01	3.798145374774110e+64	8.390875966588436e+69	-2.983956227256188e+69	4.679472521903819e+76	1.143766314185692e+76	1.505690542787236e+09	3.821700951729570e-01	2.287532628371384e+76	
16	1.600000000000000e-01	1.000000000000000e+00	2.734858256336967e+63	1.054172133839382e+69	4.561332253736804e+68	1.132623041662537e+75	2.228538963246788e+74	4.074322605354443e+08	1.315967730839212e+00	4.457077926493576e+74	
17	1.599999999999999e-01	9.800000000000000e-01	1.220395530550269e+64	-5.301862856336017e+69	2.194566381288083e+69	4.225839559537706e+75	7.192139875822718e+74	2.946642992284569e+08	1.732344514334169e+00	1.438427975164544e+75	
18	1.800000000000000e-01	1.000000000000000e+00	3.052188786317949e+63	8.190141324532511e+68	1.016265568773575e+69	8.911926073379985e+75	2.158212740318000e+75	3.535516462796507e+09	4.548554673663387e-01	4.316425480636001e+75	
