"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
126, 1.650400012730000e-01, 5.486709202536137e-02, 9.975310092081431e+04, -5.540513479206557e-01, 2.500223697780077e-01
127, 1.769299954180000e-01, 5.583513598033686e-02, 9.978345238223620e+04, -5.433532895434792e-01, 2.491711302858410e-01
128, 1.891400069000000e-01, 5.670228146432130e-02, 9.981402112529289e+04, -5.325786453445822e-01, 2.482784453576833e-01
129, 2.016600072380000e-01, 5.746811193675738e-02, 9.984588409834343e+04, -5.213478205408921e-01, 2.473829727663045e-01
130, 2.144699990750000e-01, 5.813197420944613e-02, 9.987766009504687e+04, -5.101476525159948e-01, 2.464515563113256e-01
131, 2.275699973110000e-01, 5.869456802648413e-02, 9.991069146514012e+04, -4.985049997743764e-01, 2.455118624534288e-01
132, 2.409400045870000e-01, 5.915585896897953e-02, 9.994346553556735e+04, -4.869530381137972e-01, 2.445391405117944e-01
133, 2.545700073240000e-01, 5.951657836311273e-02, 9.997732678671608e+04, -4.750178750427987e-01, 2.435559543977395e-01
134, 2.684499919410000e-01, 5.977765596976551e-02, 1.000109080105452e+05, -4.631814139278683e-01, 2.425485039754137e-01
135, 2.825500071050000e-01, 5.994005483718394e-02, 1.000452384404071e+05, -4.510808782182139e-01, 2.415329780291071e-01
136, 2.968699932100000e-01, 6.000550062925582e-02, 1.000793656897204e+05, -4.390519580838160e-01, 2.405014851540705e-01
137, 3.113999962810000e-01, 5.997565198183213e-02, 1.001139802297905e+05, -4.268512813117123e-01, 2.394600919473950e-01
138, 3.261100053790000e-01, 5.985254444802346e-02, 1.001484237632883e+05, -4.147108796699640e-01, 2.384170402512729e-01
139, 3.409900069240000e-01, 5.963847719943702e-02, 1.001829658686835e+05, -4.025357341357208e-01, 2.373579814784415e-01
140, 3.560400009160000e-01, 5.933561549045978e-02, 1.002175270031749e+05, -3.903538813665886e-01, 2.363005541856058e-01
141, 3.712300062180000e-01, 5.894684318665333e-02, 1.002518703090639e+05, -3.782488072102085e-01, 2.352302170808818e-01
142, 3.865399956700000e-01, 5.847520956655861e-02, 1.002862979454088e+05, -3.661140088792057e-01, 2.341717966887862e-01
143, 4.019699990750000e-01, 5.792324246601335e-02, 1.003202707662075e+05, -3.541395205641385e-01, 2.331070355095901e-01
144, 4.174999892710000e-01, 5.729416860686566e-02, 1.003543788229288e+05, -3.421173652924451e-01, 2.320540239192988e-01
145, 4.331099987030000e-01, 5.659141825851464e-02, 1.003878598914551e+05, -3.303162061770328e-01, 2.309991717976057e-01
146, 4.487800002100000e-01, 5.581859897363720e-02, 1.004214273104821e+05, -3.184846108765575e-01, 2.299544518154573e-01
147, 4.645099937920000e-01, 5.497835513414191e-02, 1.004543469132253e+05, -3.068813530628986e-01, 2.289087460461436e-01
148, 4.802699983120000e-01, 5.407492053959814e-02, 1.004872539283131e+05, -2.952825320527584e-01, 2.278742295168029e-01
149, 4.960500001910000e-01, 5.311153541819326e-02, 1.005195441851004e+05, -2.839011014414771e-01, 2.268460985050285e-01
150, 5.118399858470000e-01, 5.209138375948307e-02, 1.005516639695259e+05, -2.725797576659694e-01, 2.258274699942453e-01
151, 5.276100039480000e-01, 5.101897737545535e-02, 1.005833261157257e+05, -2.614197188235598e-01, 2.248144072915786e-01
152, 5.433599948880000e-01, 4.989683951066199e-02, 1.006146267066812e+05, -2.503871182964449e-01, 2.238067369715790e-01
153, 5.590599775310000e-01, 4.872955796694115e-02, 1.006456195137148e+05, -2.394630031670256e-01, 2.227986415833725e-01
154, 5.747100114820000e-01, 4.751950934859488e-02, 1.006762169424253e+05, -2.286782480613076e-01, 2.217983954532237e-01
155, 5.902799963950000e-01, 4.627132533375768e-02, 1.007065418640640e+05, -2.179895442303716e-01, 2.208112526274891e-01
156, 6.057599782940000e-01, 4.498807223669178e-02, 1.007364027950866e+05, -2.074643843760933e-01, 2.198259238848178e-01
157, 6.211299896240000e-01, 4.367359094194759e-02, 1.007660949256968e+05, -1.969987220412285e-01, 2.188546563053549e-01
158, 6.363800168040000e-01, 4.233084266562091e-02, 1.007953806920982e+05, -1.866762919536740e-01, 2.178802618515803e-01
159, 6.514999866490000e-01, 4.096270419333766e-02, 1.008245252757370e+05, -1.764036249208584e-01, 2.169179808299730e-01
160, 6.664699912070000e-01, 3.957289370556494e-02, 1.008533530176285e+05, -1.662426359210063e-01, 2.159521882246030e-01
161, 6.812700033190000e-01, 3.816515293304169e-02, 1.008820596327992e+05, -1.561243407708041e-01, 2.149962266675378e-01
162, 6.958900094030001e-01, 3.674225211597043e-02, 1.009105407408043e+05, -1.460855307164828e-01, 2.140345424849183e-01
163, 7.103199958800001e-01, 3.530689307158652e-02, 1.009389756563517e+05, -1.360630022376119e-01, 2.130799304116542e-01
164, 7.245299816130000e-01, 3.386376679305321e-02, 1.009672628337681e+05, -1.260925474012017e-01, 2.121178163348860e-01
165, 7.385200262070000e-01, 3.241453277608040e-02, 1.009955707336949e+05, -1.161147884477620e-01, 2.111582583066874e-01
166, 7.522799968720000e-01, 3.096181144522562e-02, 1.010238667029740e+05, -1.061412347206491e-01, 2.101889548578129e-01
167, 7.657799720760000e-01, 2.951033727360171e-02, 1.010522480373041e+05, -9.613759215249827e-02, 2.092184688229050e-01
168, 7.790099978450000e-01, 2.806276676215449e-02, 1.010807215592604e+05, -8.610145597249022e-02, 2.082374549911754e-01
169, 7.919700145720000e-01, 2.662062628442961e-02, 1.011093599896585e+05, -7.600719408605133e-02, 2.072490350101236e-01
170, 8.046399950980000e-01, 2.518763605296113e-02, 1.011382213131750e+05, -6.583436848366178e-02, 2.062415346421397e-01
171, 8.170099854470000e-01, 2.376642068849115e-02, 1.011674264442158e+05, -5.554036015093835e-02, 2.052251521436823e-01
172, 8.290500044819999e-01, 2.236196298315981e-02, 1.011968508071866e+05, -4.516907857087169e-02, 2.041932129992451e-01
173, 8.407700061800000e-01, 2.097463226217677e-02, 1.012267011994731e+05, -3.464763333222523e-02, 2.031389548367140e-01
